phewas_string,x,y,p_values,odds_ratios,snps,cluster
Depression,12,6,"[0.01492, 0.04882, 0.02323, 0.02694, 0.04405, 0.02162]","[0.729, 1.22, 0.895, 1.087, 1.153, 1.157]","['B_3801', 'B_4901', 'C_0401', 'DQA1_0102', 'DQB1_0604', 'DRB1_1302']",0
Dermatitis due to solar radiation,12,10,"[0.0159, 0.00352, 0.03498, 0.0009216, 0.0005979, 0.04862, 0.001536]","[0.587, 0.509, 0.613, 1.381, 1.416, 1.467, 2.05]","['A_2902', 'B_2705', 'C_0102', 'DPA1_0103', 'DPA1_0201', 'DPB1_1101', 'DRB1_0407']",0
Dermatochalasis,12,8,[0.01051],[1.784],['B_5501'],0
Dermatophytosis of nail,10,10,"[0.03877, 0.04155, 0.002399, 0.01479, 0.01194, 0.0008985, 0.003144, 0.01084]","[0.697, 1.551, 1.407, 1.226, 1.246, 1.462, 0.766, 0.759]","['A_2902', 'B_3801', 'B_4001', 'DPA1_0103', 'DPA1_0201', 'DPB1_0101', 'DQB1_0301', 'DRB1_0401']",0
Develomental delays and disorders,12,7,"[0.02552, 0.02871]","[0.631, 1.541]","['A_6801', 'DPB1_1001']",0
Diabetes or abnormal glucose tolerance complicating pregnancy,11,12,"[0.001698, 0.02592, 0.0008613]","[1.919, 0.32, 3.493]","['DRB1_0401', 'DRB1_1101', 'DRB1_1201']",0
Diabetes type 2 with peripheral circulatory disorders,10,10,"[0.04077, 0.04622, 0.04402, 0.04393, 0.01708, 0.0351, 0.02789]","[1.744, 1.332, 1.353, 0.733, 0.682, 1.718, 1.819]","['A_2501', 'DPA1_0103', 'DPA1_0201', 'DQA1_0301', 'DQB1_0301', 'DQB1_0503', 'DRB1_0801']",0
Diaper or napkin rash,12,5,"[0.007823, 0.02958, 0.006067]","[3.666, 1.908, 3.822]","['B_3901', 'DRB1_0101', 'DRB1_0901']",0
Diseases of hard tissues of teeth,10,7,"[0.003474, 0.04093, 0.02508, 0.01548, 0.0224, 0.006582, 0.006414, 0.04245, 0.02364, 0.01503, 0.03745]","[0.725, 1.264, 0.531, 1.806, 0.682, 0.145, 1.515, 1.211, 0.626, 1.284, 0.543]","['A_0301', 'A_2402', 'A_2601', 'B_1401', 'B_3501', 'B_3801', 'C_0102', 'C_0701', 'C_1203', 'DPB1_0301', 'DRB1_0801']",0
"Diseases of nail, NOS",10,6,[0.04398],[0.657],['DQB1_0301'],0
Diseases of spleen,8,7,"[0.007894, 0.004923, 0.006943, 0.03712, 0.02803]","[2.232, 2.489, 2.49, 2.627, 2.269]","['A_2902', 'DQA1_0401', 'DQB1_0402', 'DRB1_0103', 'DRB1_0801']",0
"Disorders of fluid, electrolyte, and acid-base balance",10,9,"[0.03962, 0.0005801, 0.002952, 0.007691, 0.03687, 0.04182, 0.04518, 0.02042, 0.02894]","[0.846, 0.716, 1.18, 0.905, 1.069, 0.934, 1.129, 0.927, 0.932]","['A_2301', 'B_3801', 'C_0102', 'C_0401', 'DPA1_0201', 'DPB1_0201', 'DQA1_0401', 'DQB1_0602', 'DRB1_1501']",0
Disorders of tooth development,12,10,"[0.04456, 0.04959, 0.03071, 0.01881, 0.0237, 0.006024]","[0.133, 0.601, 0.577, 1.584, 1.579, 2.982]","['A_6801', 'B_0702', 'C_0702', 'DPA1_0103', 'DPA1_0201', 'DQB1_0502']",0
Disturbances in tooth eruption,12,10,"[0.04425, 0.04684, 0.01588, 0.02528, 0.003765]","[1.587, 1.851, 1.624, 1.591, 3.177]","['C_0401', 'C_0802', 'DPA1_0103', 'DPA1_0201', 'DQB1_0502']",0
Dyschromia and Vitiligo,12,5,"[0.01177, 0.03991, 0.025, 0.006972, 0.02977, 0.04897, 0.01948, 0.03459, 0.04124]","[2.068, 1.44, 1.908, 1.857, 0.374, 1.647, 0.547, 1.838, 1.762]","['B_3901', 'B_5101', 'C_1402', 'C_1502', 'DPB1_0601', 'DPB1_1301', 'DRB1_0404', 'DRB1_0407', 'DRB1_0901']",0
Electrolyte imbalance,10,7,"[0.04253, 0.03556, 0.009733, 0.03251, 0.001588, 0.01151, 0.02967, 0.0486, 0.03393, 0.03924, 0.03347]","[0.825, 0.847, 1.163, 0.794, 1.22, 0.897, 0.865, 1.105, 0.921, 1.085, 0.923]","['A_2301', 'B_1402', 'B_2705', 'B_3801', 'C_0102', 'C_0401', 'C_0802', 'DPB1_0101', 'DPB1_0201', 'DPB1_0301', 'DQB1_0602']",0
Endocrine and metabolic disturbances of fetus and newborn,11,12,[0.0267],[1.802],['B_1501'],0
Erythematosquamous dermatosis,10,6,"[0.0248, 0.008835, 0.02463, 0.04372, 0.0001638]","[1.543, 0.41, 0.321, 1.831, 0.485]","['B_5701', 'C_1601', 'DPB1_1101', 'DRB1_0103', 'DRB1_0401']",0
Esophageal bleeding (varices/hemorrhage),9,7,"[0.02411, 0.000732, 0.03081, 0.01202, 0.009807, 0.0003633]","[1.358, 1.527, 0.778, 1.655, 1.414, 0.622]","['C_0401', 'DPB1_0301', 'DPB1_0401', 'DQA1_0401', 'DQB1_0202', 'DQB1_0301']",0
Fasciitis,11,8,"[0.03702, 0.0041, 0.04417, 0.02479, 0.03163]","[1.93, 2.001, 1.425, 1.387, 1.322]","['B_3801', 'B_5501', 'C_0303', 'DPB1_0301', 'DQA1_0102']",0
First degree AV block,11,11,"[0.04166, 0.02401, 0.01179, 0.01066, 0.0025, 0.03234, 0.007404]","[2.38, 1.532, 1.821, 2.355, 2.228, 2.338, 1.967]","['B_3901', 'DPA1_0201', 'DPB1_0101', 'DPB1_1001', 'DQB1_0604', 'DRB1_0103', 'DRB1_1302']",0
Fracture of ankle and foot,9,6,"[0.04166, 0.0006735, 0.04088, 0.03012, 0.04842]","[1.2, 0.705, 1.197, 1.21, 0.739]","['B_0801', 'DPB1_0201', 'DQB1_0201', 'DRB1_0301', 'DRB1_0404']",0
Fracture of foot,9,6,"[0.03894, 0.004611, 0.0139, 0.03224, 0.002599, 0.03244, 0.0331, 0.03506]","[1.769, 1.399, 1.319, 0.413, 0.647, 1.297, 1.288, 0.621]","['A_3001', 'B_0801', 'C_0701', 'C_1502', 'DPB1_0201', 'DQB1_0501', 'DRB1_0301', 'DRB1_0404']",0
Fracture of lower limb,9,6,"[0.03355, 0.002134, 0.01894, 0.0405, 0.03356]","[0.847, 0.446, 0.825, 1.165, 1.172]","['B_0702', 'C_0704', 'DPB1_0201', 'DQB1_0201', 'DRB1_0301']",0
Fracture of patella,9,6,"[0.001818, 0.004703, 0.02608, 0.02264]","[1.984, 0.419, 1.59, 1.608]","['C_0304', 'DPB1_0201', 'DQB1_0201', 'DRB1_0301']",0
GERD,11,5,"[0.01438, 0.04716, 0.03917, 0.01531, 0.04664, 0.03281]","[1.173, 0.892, 0.873, 1.203, 0.924, 1.231]","['A_6801', 'B_4403', 'C_1601', 'DPB1_0601', 'DQB1_0201', 'DRB1_0901']",0
Generalized anxiety disorder,10,10,"[0.01436, 0.04529, 0.01711, 0.02002, 0.00564]","[1.534, 0.31, 1.706, 1.303, 1.386]","['B_1801', 'B_3801', 'B_5501', 'DPA1_0103', 'DPA1_0201']",0
Heart valve disorders,11,5,"[0.008132, 0.04118, 0.01826, 0.01049]","[0.793, 0.856, 1.212, 1.206]","['A_2902', 'B_4403', 'DQB1_0604', 'DRB1_1302']",0
Heart valve replaced,10,8,"[0.01793, 0.001192, 0.02585, 0.02609, 0.03077, 0.0192]","[0.524, 1.565, 0.364, 0.619, 0.649, 1.262]","['B_1402', 'B_2705', 'B_3801', 'C_0802', 'C_1203', 'DPB1_0401']",0
Hemorrhage during pregnancy; childbirth and postpartum,12,9,"[0.02495, 0.02315, 0.003734, 0.03728, 0.04782, 0.009371]","[0.556, 2.081, 3.523, 2.129, 0.241, 3.405]","['A_0201', 'B_3501', 'B_3503', 'C_0102', 'C_0303', 'DRB1_0407']",0
Hemorrhage from gastrointestinal ulcer,11,6,"[0.02336, 0.005927, 0.0346, 0.03575, 0.03554]","[1.891, 2.313, 1.731, 1.674, 2.658]","['B_4001', 'C_0202', 'C_0304', 'DPB1_0301', 'DRB1_0103']",0
Hemorrhage in early pregnancy,11,12,[0.02083],[2.69],['DRB1_0407'],0
Hemorrhage of fetus or newborn,12,12,"[0.02104, 0.0002876]","[3.116, 4.761]","['A_2301', 'DRB1_1104']",0
Hemorrhoids,10,8,"[0.04077, 0.02846, 0.01408]","[1.163, 0.641, 0.551]","['DPB1_0401', 'DPB1_0501', 'DRB1_1401']",0
Hereditary hemolytic anemias,12,8,"[0.003658, 0.01921]","[2.823, 2.99]","['B_5501', 'DRB1_0103']",0
Hirsutism,10,6,"[0.0006432, 0.01192, 0.0288]","[3.604, 2.263, 0.317]","['B_5701', 'C_0602', 'DPB1_0201']",0
Hodgkin's disease,9,9,[0.04309],[0.742],['DPA1_0201'],0
Hypercalcemia,11,6,[0.03812],[1.288],['DPB1_0301'],0
Hyperosmolality and/or hypernatremia,11,8,"[0.02532, 0.03722, 0.02783, 0.03684, 0.02374, 0.002005, 0.01463]","[1.657, 1.725, 1.48, 0.693, 1.337, 2.448, 1.561]","['A_3101', 'B_5501', 'DPB1_0101', 'DPB1_0402', 'DQA1_0501', 'DRB1_0407', 'DRB1_1101']",0
Hypersomnia,11,7,"[0.0149, 0.006328, 0.01707]","[3.555, 2.846, 0.479]","['B_3901', 'DQA1_0401', 'DQA1_0501']",0
"Hypertension complicating pregnancy, childbirth, and the puerperium",11,12,[0.01352],[2.38],['DRB1_1201'],0
