phewas_string,x,y,p_values,odds_ratios,snps,cluster
Aneurysm of other specified artery,2,8,"[0.03412, 0.002914, 0.04297]","[0.335, 2.919, 2.069]","['A_2402', 'B_1402', 'C_0802']",3
Anomalies of tooth position/malocclusion,0,8,"[0.02342, 0.001895, 0.03164, 0.01165, 0.009288]","[2.039, 3.218, 1.613, 1.792, 1.817]","['B_1801', 'DPB1_1301', 'DQA1_0102', 'DQB1_0602', 'DRB1_1501']",3
Anticoagulants causing adverse effects,2,9,"[0.04588, 0.004339, 0.02972, 0.03597, 0.006544, 0.02119]","[2.395, 4.469, 0.208, 2.362, 4.165, 0.253]","['A_3101', 'B_1401', 'C_0602', 'C_0802', 'C_1402', 'DPB1_0301']",3
Antisocial/borderline personality disorder,1,8,"[0.04186, 0.02314, 0.02809, 0.0403, 0.03915]","[2.278, 1.81, 1.811, 2.044, 1.747]","['A_3101', 'DQA1_0102', 'DQB1_0602', 'DRB1_0404', 'DRB1_1501']",3
Aphasia,1,7,"[0.0343, 0.03364, 0.01583, 0.004905, 0.03138, 0.03805, 0.006463, 0.0366]","[1.388, 1.55, 1.444, 2.206, 0.709, 1.381, 2.359, 1.381]","['B_0702', 'B_4403', 'C_0702', 'DPB1_1001', 'DQA1_0301', 'DQB1_0602', 'DRB1_0103', 'DRB1_1501']",3
Aphasia/speech disturbance,0,6,"[0.03207, 0.01754, 0.02292, 0.04648, 0.008731, 0.01938, 0.03084, 0.04722, 0.0401]","[0.744, 1.556, 1.25, 0.439, 1.286, 1.603, 0.812, 1.22, 1.229]","['A_2402', 'A_2501', 'B_0702', 'B_3503', 'C_0702', 'DPB1_1001', 'DQA1_0301', 'DQB1_0201', 'DRB1_0301']",3
Appendiceal conditions,1,8,"[0.02678, 0.03518, 0.004787, 0.04954, 0.03754, 0.02604]","[1.861, 1.39, 1.519, 1.368, 1.428, 1.419]","['A_2501', 'DPA1_0201', 'DQA1_0102', 'DQB1_0602', 'DRB1_0101', 'DRB1_1501']",3
Appendicitis,1,12,"[0.02481, 0.04574, 0.005928, 0.04019]","[0.496, 2.076, 1.528, 1.4]","['B_4001', 'DPB1_1401', 'DQA1_0102', 'DRB1_1501']",3
Atherosclerosis of native arteries of the extremities with intermittent claudication,2,10,"[0.01004, 0.004679, 0.04349, 0.02776, 0.02795, 0.02757]","[1.334, 0.608, 1.277, 1.611, 0.73, 1.311]","['A_0101', 'A_2402', 'B_0801', 'B_1302', 'DPB1_0402', 'DRB1_0401']",3
Back pain,1,6,"[0.03748, 0.03192, 0.01625, 0.01561]","[1.16, 1.226, 0.899, 0.891]","['A_6801', 'DPB1_1301', 'DQB1_0501', 'DRB1_0101']",3
Bariatric surgery,2,10,"[0.04584, 0.03857]","[0.312, 1.749]","['A_2601', 'B_1302']",3
Barrett's esophagus,2,7,"[0.01852, 0.03846, 0.02448, 0.04261, 0.02548, 0.01876]","[1.632, 1.892, 2.316, 2.363, 1.895, 0.541]","['A_2402', 'B_1402', 'B_3503', 'B_3901', 'DPA1_0202', 'DPB1_0402']",3
Basal cell carcinoma,2,7,"[0.03038, 0.02941, 0.0007456, 0.0004989, 0.006266, 0.02006, 0.03192, 0.003861, 0.002071, 0.02836, 0.02943, 0.007006, 0.03929, 0.04692]","[1.366, 0.548, 1.971, 2.353, 0.493, 0.682, 1.515, 0.392, 1.454, 0.689, 1.326, 2.087, 0.724, 1.427]","['A_2402', 'A_2902', 'B_1402', 'B_3503', 'B_4403', 'C_0501', 'C_0802', 'C_1601', 'DQA1_0101', 'DQB1_0202', 'DQB1_0501', 'DRB1_0103', 'DRB1_0401', 'DRB1_0404']",3
Benign mammary dysplasias,0,12,"[0.01699, 0.01036, 0.01764, 0.04478, 0.01719, 0.04265]","[1.261, 1.675, 1.6, 1.379, 1.603, 0.847]","['A_2402', 'A_3001', 'B_3801', 'DPB1_1101', 'DPB1_1401', 'DQB1_0301']",3
Benign neoplasm of breast,0,11,"[0.0421, 0.0274, 0.02047, 0.01185, 0.04224, 0.03325, 0.03417]","[2.26, 2.418, 0.438, 1.874, 2.254, 2.231, 2.222]","['A_2601', 'B_5501', 'DPB1_0201', 'DPB1_0402', 'DPB1_1101', 'DQB1_0402', 'DQB1_0503']",3
Benign neoplasm of colon,2,8,"[0.0248, 0.02147, 0.02199, 0.004869, 0.04623]","[0.892, 1.278, 1.433, 1.294, 0.797]","['A_0201', 'B_1402', 'B_4002', 'C_0802', 'DPA1_0202']",3
"Benign neoplasm of lip, oral cavity, and pharynx",2,11,"[0.04946, 0.03372, 0.04761, 0.02199]","[0.641, 1.902, 1.596, 2.314]","['DPB1_0402', 'DPB1_0601', 'DRB1_0404', 'DRB1_0407']",3
Benign neoplasm of respiratory and intrathoracic organs,3,9,"[0.02859, 0.01352]","[1.589, 1.678]","['B_4402', 'C_0501']",3
Blood in stool,1,11,"[0.01661, 0.03742, 0.001225, 0.04604, 0.0265, 0.0242, 0.04032]","[1.352, 1.281, 1.245, 1.174, 1.5, 1.255, 0.632]","['A_3101', 'C_0802', 'DQB1_0301', 'DRB1_0101', 'DRB1_0407', 'DRB1_1101', 'DRB1_1401']",3
Bone marrow or stem cell transplant,1,7,"[0.02336, 0.03318, 0.02995, 0.01074, 0.008089, 0.03935, 0.03194, 0.01644, 0.04481, 0.02828, 0.04113]","[1.302, 1.283, 0.459, 1.339, 1.337, 0.792, 0.747, 1.325, 1.456, 0.741, 1.271]","['A_0301', 'B_0702', 'B_1402', 'C_0702', 'DQA1_0102', 'DQA1_0501', 'DQB1_0201', 'DQB1_0602', 'DQB1_0604', 'DRB1_0301', 'DRB1_1501']",3
Bronchopneumonia and lung abscess,3,10,"[0.03857, 0.04694, 0.02868, 0.02131, 0.01697]","[2.244, 1.442, 1.695, 0.261, 2.4]","['B_4002', 'B_4402', 'C_0202', 'C_0802', 'DRB1_0407']",3
Calcaneal spur; Exostosis NOS,1,12,"[0.005024, 0.01168, 0.02684]","[2.453, 2.993, 3.178]","['B_4001', 'C_1502', 'DPB1_1401']",3
Cancer of hypopharynx,3,10,"[0.04645, 0.04096, 0.04148]","[1.95, 0.126, 3.411]","['B_4402', 'C_0304', 'DRB1_0407']",3
Cancer of major salivary glands,3,9,"[0.001432, 2.005e-05, 0.005053]","[2.095, 2.611, 3.317]","['B_4402', 'C_0501', 'DQB1_0502']",3
Cancer of other endocrine glands,0,12,"[0.03457, 0.04735, 0.004489, 0.02004]","[2.682, 0.512, 3.374, 1.985]","['B_3801', 'DPB1_0402', 'DPB1_1401', 'DQB1_0303']",3
Cancer of other female genital organs,2,12,"[0.01032, 0.03483, 0.03922, 0.017, 0.04782, 0.01034, 0.03771, 0.01344, 0.01461, 0.04265, 0.04951, 0.01799, 0.01421, 0.03232, 0.01042, 0.000769, 0.01192, 0.0003959, 0.03184, 0.02232, 0.01137, 0.02493, 0.04012, 4.833e-05]","[1.316, 1.258, 0.543, 0.718, 1.272, 0.697, 1.25, 1.66, 0.415, 1.228, 0.784, 1.64, 2.473, 1.683, 1.921, 2.612, 1.587, 2.667, 2.04, 0.593, 1.591, 0.599, 1.647, 2.326]","['A_0301', 'B_0702', 'B_1402', 'B_4402', 'C_0401', 'C_0501', 'C_0702', 'C_1502', 'DPB1_0501', 'DQA1_0102', 'DRB1_0301', 'DRB1_1104', 'A_3001', 'B_5101', 'B_5701', 'C_1502', 'DPB1_0301', 'DPB1_0601', 'DPB1_1301', 'DQB1_0201', 'DQB1_0302', 'DRB1_0301', 'DRB1_0404', 'DRB1_1101']",3
Cancer of other male genital organs,1,8,"[0.01983, 0.03876, 0.01624]","[1.674, 0.227, 1.736]","['DQA1_0102', 'DQB1_0303', 'DRB1_1501']",3
Cancer of the mouth floor,3,9,"[0.0002679, 0.04576, 0.01819]","[3.749, 1.753, 1.923]","['A_2501', 'B_4402', 'C_0501']",3
"Cancer, suspected or other",4,9,"[0.004556, 0.04864, 0.02627, 0.04068, 0.02993, 0.01373, 0.02374, 0.01574, 0.03932, 0.0167]","[0.837, 0.722, 1.401, 1.144, 1.153, 0.802, 0.816, 0.581, 1.138, 0.798]","['A_0301', 'A_2301', 'A_3001', 'B_4402', 'C_0501', 'DQA1_0103', 'DQB1_0603', 'DRB1_0103', 'DRB1_0401', 'DRB1_1301']",3
Carcinoma in situ of skin,2,11,"[0.01325, 0.0201, 0.008795, 0.03105, 0.03384, 0.02886]","[1.719, 0.622, 2.052, 0.604, 1.388, 1.626]","['B_5101', 'DPB1_0201', 'DPB1_0601', 'DQB1_0202', 'DQB1_0301', 'DRB1_0404']",3
Cardiogenic shock,1,6,"[0.04001, 0.0357, 0.03615, 0.006859]","[1.859, 1.995, 0.653, 2.548]","['A_2501', 'DPB1_1301', 'DQA1_0101', 'DRB1_0407']",3
Cellulitis and abscess of face/neck,2,8,"[0.003852, 0.006044, 0.02525, 0.01881, 0.0125]","[2.104, 1.902, 2.018, 2.25, 0.354]","['B_1402', 'C_0802', 'DPB1_1301', 'DPB1_1401', 'DRB1_0404']",3
Central origin vertigo,4,9,[0.04505],[1.96],['C_0501'],3
Cerebral aneurysm,1,12,"[0.0248, 0.02611, 0.02498, 0.03015, 0.005296, 0.03956, 0.03242]","[1.82, 2.167, 2.097, 0.282, 2.636, 0.686, 0.603]","['A_6801', 'B_3503', 'C_0704', 'C_0802', 'DPB1_1401', 'DQA1_0301', 'DRB1_0401']",3
Cholelithiasis,4,8,"[0.04279, 0.02577, 0.01108, 0.04076, 0.03706, 0.004361, 0.03316, 0.004295]","[1.362, 0.797, 1.491, 0.85, 1.37, 1.448, 0.814, 1.402]","['B_1402', 'C_0501', 'DPB1_0501', 'DQA1_0301', 'DQB1_0503', 'DQB1_0604', 'DRB1_0401', 'DRB1_1302']",3
Cholelithiasis with acute cholecystitis,0,7,"[0.01679, 0.04173, 0.02204, 0.02022, 0.003629, 0.03006, 0.01935, 0.01409, 0.004163, 0.00958, 0.0215]","[2.505, 1.768, 2.12, 1.898, 2.221, 0.491, 0.296, 1.978, 2.855, 2.484, 1.894]","['A_3201', 'B_0702', 'B_4001', 'C_0702', 'DQA1_0102', 'DQA1_0301', 'DQB1_0302', 'DQB1_0602', 'DQB1_0604', 'DRB1_1302', 'DRB1_1501']",3
Chorioretinal scars,1,8,"[0.04168, 0.002887, 0.04039, 0.0208, 0.03237]","[1.827, 3.689, 1.79, 1.959, 1.862]","['A_0201', 'DPB1_1001', 'DQA1_0102', 'DQB1_0602', 'DRB1_1501']",3
Chronic fatigue syndrome,2,7,"[0.004613, 0.04096, 0.03658, 0.04691, 0.02285, 0.04912]","[2.35, 2.199, 0.373, 2.384, 0.342, 0.425]","['A_2402', 'A_2902', 'B_0801', 'B_1402', 'DQB1_0201', 'DRB1_0301']",3
"Chronic glomerulonephritis, NOS",0,6,"[0.02604, 0.01858, 0.01104, 0.004826, 0.0187, 0.02316, 0.001859]","[1.671, 0.394, 1.779, 1.906, 0.435, 0.407, 2.03]","['B_0702', 'B_4402', 'C_0702', 'DQB1_0201', 'DQB1_0501', 'DRB1_0101', 'DRB1_0301']",3
Chronic lymphocytic thyroiditis,2,10,"[0.03511, 0.01266, 0.04507]","[1.5, 1.652, 0.239]","['A_0101', 'B_0801', 'DQB1_0604']",3
Chronic pancreatitis,4,8,"[0.0294, 0.04565, 0.03422]","[2.074, 2.195, 1.571]","['B_1402', 'C_0704', 'DPB1_0201']",3
Chronic tonsillitis and adenoiditis,1,11,"[0.03028, 0.04868]","[1.824, 1.786]","['C_1402', 'DRB1_0407']",3
Chronic ulcer of leg or foot,1,7,"[0.01537, 0.01884, 0.0338, 0.02588, 0.01078, 0.007489, 0.009419]","[0.742, 1.729, 0.777, 0.785, 1.338, 0.714, 0.725]","['B_0702', 'B_3701', 'C_0702', 'DQA1_0102', 'DQB1_0302', 'DQB1_0602', 'DRB1_1501']",3
Circumscribed scleroderma,2,11,"[0.04344, 0.007404]","[2.887, 3.239]","['B_4901', 'DPB1_0601']",3
Coma,1,12,"[0.04749, 0.01251, 0.04376]","[1.953, 0.23, 2.545]","['A_6801', 'B_1501', 'DPB1_1401']",3
Complication of amputation stump,3,12,"[0.01383, 0.00402, 0.04142, 0.005459, 0.03285]","[2.496, 3.531, 1.817, 3.384, 1.931]","['B_5101', 'C_1502', 'DPA1_0103', 'DPB1_0501', 'DQB1_0302']",3
"Complications of gastrostomy, colostomy and enterostomy",2,10,[0.01146],[0.676],['A_0101'],3
Congenital factor VIII disorder,1,8,"[0.01471, 0.03182, 0.007118]","[2.097, 1.954, 2.284]","['DQA1_0102', 'DQB1_0602', 'DRB1_1501']",3
Contracture of joint,1,11,"[0.02963, 0.02815]","[1.773, 2.13]","['DQB1_0503', 'DRB1_0407']",3
Contracture of palmar fascia [Dupuytren's disease],4,7,"[0.04526, 0.02421]","[1.681, 1.784]","['A_0301', 'C_0702']",3
Corneal opacity,2,10,"[0.02294, 0.002774]","[1.609, 3.043]","['A_0101', 'B_3701']",3
Corns and callosities,0,11,"[0.02489, 0.02636, 0.04868, 0.03555, 0.008093, 0.04159, 0.04218, 0.04068, 0.03649]","[1.979, 1.927, 0.538, 0.484, 1.781, 0.618, 0.512, 1.822, 0.466]","['A_2501', 'A_2601', 'B_1501', 'C_0303', 'DPB1_0101', 'DPB1_0402', 'DQA1_0103', 'DQB1_0503', 'DRB1_1301']",3
Cystic mastopathy,0,12,"[0.0453, 0.008723, 0.008021, 0.04316, 0.04358]","[1.239, 1.759, 1.738, 1.2, 1.556]","['A_2402', 'A_3001', 'B_3801', 'DPA1_0201', 'DPB1_1401']",3
Decreased white blood cell count,1,10,"[0.03032, 0.0277]","[1.267, 0.854]","['A_3101', 'DPB1_0301']",3
Deficiency anemias,1,10,[0.03188],[1.633],['A_1101'],3
Deficiency of humoral immunity,1,11,"[0.02577, 0.04714]","[0.204, 2.31]","['B_2705', 'DRB1_0407']",3
"Dentofacial anomalies, including malocclusion",0,8,"[0.01517, 0.04032, 0.003216, 0.03269, 0.008524, 0.006976]","[2.085, 1.62, 3.018, 1.587, 1.803, 1.823]","['B_1801', 'DPB1_0402', 'DPB1_1301', 'DQA1_0102', 'DQB1_0602', 'DRB1_1501']",3
Dermatomycoses,0,10,"[0.008747, 0.0006291, 0.04359, 0.003539, 0.02671]","[3.5, 4.139, 2.307, 4.653, 2.514]","['A_2301', 'A_2601', 'B_2705', 'B_3901', 'C_1203']",3
Diseases of esophagus,2,10,"[0.02699, 0.03855, 0.02315]","[1.143, 0.93, 0.832]","['A_6801', 'B_0702', 'DRB1_1104']",3
Diseases of sebaceous glands,3,7,"[0.001309, 0.04459, 0.005517, 0.009039, 0.0136, 0.03991, 0.02367, 0.03643, 0.03768, 0.04402, 0.04164]","[1.484, 0.808, 0.503, 1.516, 1.242, 0.81, 1.193, 1.246, 0.863, 1.164, 0.857]","['A_2601', 'B_3501', 'B_3701', 'B_3801', 'B_4001', 'C_0303', 'C_0304', 'C_1203', 'DQA1_0101', 'DQB1_0202', 'DQB1_0501']",3
"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue",3,9,"[0.007412, 0.01575, 0.0005609, 0.007775, 0.001701]","[1.486, 0.756, 1.331, 0.717, 1.3]","['A_2501', 'B_1501', 'B_4402', 'C_0303', 'C_0501']",3
Diseases of white blood cells,1,10,"[0.04372, 0.0473, 0.02183]","[1.241, 1.124, 0.83]","['DPB1_0601', 'DRB1_0101', 'DRB1_1301']",3
Disorders of diaphragm,2,11,"[0.04771, 0.04277, 0.04394, 0.04066]","[1.601, 1.944, 2.235, 0.561]","['A_0201', 'B_2705', 'DPB1_0601', 'DQB1_0301']",3
Disorders of esophageal motility,2,8,"[0.01803, 0.02457, 0.03522, 0.02998, 0.02645, 0.04921]","[1.887, 2.232, 1.941, 0.537, 2.303, 2.505]","['A_1101', 'B_1402', 'B_2705', 'C_0701', 'DPB1_0501', 'DPB1_1401']",3
Disorders of iron metabolism,1,10,"[0.04461, 0.02065, 0.0001824]","[1.518, 0.404, 3.732]","['A_0301', 'A_2402', 'DRB1_1201']",3
Disorders of mineral metabolism,4,7,"[0.04748, 0.006727, 0.009641, 0.007611, 0.01103, 0.003534]","[1.113, 1.185, 0.718, 1.44, 1.318, 0.609]","['A_0301', 'C_0304', 'DQB1_0503', 'DRB1_0103', 'DRB1_0801', 'DRB1_1401']",3
Disorders of penis,3,11,"[0.01661, 0.0333, 0.02308, 0.01918, 0.0429]","[1.643, 0.439, 1.427, 1.868, 0.306]","['B_5101', 'C_1601', 'DPB1_0301', 'DPB1_0501', 'DPB1_1101']",3
Disorders of sweat glands,0,7,"[0.03273, 0.02534, 0.008687, 0.004271, 0.01236, 0.04998, 0.0329, 0.01621, 0.04201, 0.03003, 0.01901]","[1.645, 1.671, 2.348, 2.188, 2.549, 0.562, 1.607, 0.427, 1.613, 1.692, 1.72]","['B_0702', 'C_0702', 'DPA1_0202', 'DPB1_0101', 'DPB1_0501', 'DQA1_0101', 'DQA1_0102', 'DQB1_0501', 'DQB1_0602', 'DRB1_0401', 'DRB1_1501']",3
Diverticulitis,3,8,"[0.03127, 0.02157, 0.04437, 0.01244, 0.007299]","[0.409, 1.429, 0.725, 0.712, 0.258]","['A_2501', 'C_0303', 'C_0401', 'C_0702', 'DPB1_0601']",3
Diverticulosis,3,8,"[0.0113, 0.02786, 0.0495, 0.02862]","[1.343, 1.207, 1.121, 0.789]","['B_1402', 'C_0303', 'DQA1_0501', 'DRB1_0404']",3
Diverticulosis and diverticulitis,3,8,"[0.04812, 0.01704, 0.03092, 0.03273, 0.005049, 0.008496, 0.03293]","[1.247, 1.209, 0.729, 0.887, 1.163, 0.764, 1.199]","['B_1402', 'C_0303', 'DPB1_0601', 'DQA1_0301', 'DQA1_0501', 'DRB1_0404', 'DRB1_1101']",3
Dysmenorrhea,1,11,"[0.0359, 0.03345, 0.04129, 0.006892]","[0.572, 1.522, 0.581, 2.928]","['DQB1_0201', 'DQB1_0301', 'DRB1_0301', 'DRB1_0407']",3
Dysplasia of female genital organs,0,7,"[0.04373, 0.000279, 0.00226, 0.04399, 0.03986, 0.02384, 0.001907, 0.04642, 0.04875, 0.001276]","[1.828, 2.571, 2.215, 1.752, 1.703, 1.86, 2.254, 1.949, 0.137, 2.316]","['A_2402', 'B_0702', 'C_0702', 'DPB1_0301', 'DQA1_0102', 'DQB1_0302', 'DQB1_0602', 'DRB1_1101', 'DRB1_1301', 'DRB1_1501']",3
Dysthymic disorder,3,9,"[0.01512, 0.04079, 0.04927, 0.03495, 0.04656, 0.02454]","[1.744, 1.233, 1.224, 1.354, 1.211, 0.82]","['B_3901', 'B_4402', 'C_0501', 'C_1203', 'DPB1_0201', 'DPB1_0401']",3
Ectropion or entropion,3,12,"[0.01403, 0.04545, 0.01654, 0.01265]","[1.966, 2.109, 2.106, 2.695]","['B_5101', 'C_1502', 'DPA1_0202', 'DRB1_0901']",3
Edema,1,6,"[0.00326, 0.03229, 0.03964, 0.04908]","[1.193, 0.783, 1.219, 1.307]","['A_1101', 'A_2501', 'B_1302', 'B_4002']",3
Elevated carcinoembryonic antigen [CEA],1,8,"[0.001297, 0.04203, 0.0009929, 0.03734, 0.002023, 0.03746, 0.0009669]","[2.811, 0.393, 1.937, 0.384, 1.89, 0.346, 1.964]","['A_2501', 'B_4001', 'DQA1_0102', 'DQA1_0103', 'DQB1_0602', 'DRB1_1301', 'DRB1_1501']",3
Elevated sedimentation rate,1,6,"[0.04334, 0.04521, 0.01599, 0.01105]","[1.537, 0.534, 1.52, 1.584]","['C_0303', 'DQA1_0103', 'DQB1_0501', 'DRB1_0101']",3
Elevated white blood cell count,1,10,[0.03636],[1.192],['A_1101'],3
Encounter for long-term (current) use of anticoagulants,1,10,"[0.005317, 0.02422, 0.02172, 0.01615, 0.02168, 0.01964]","[1.196, 1.215, 1.198, 1.339, 0.81, 1.353]","['A_1101', 'A_3201', 'B_2705', 'B_4901', 'B_5701', 'DRB1_1201']",3
Erythematous conditions,1,8,"[0.03353, 0.0164, 0.0009599, 0.03566, 0.02777, 0.0303, 0.0004611, 0.01825, 0.04786, 0.0004044]","[0.741, 0.479, 1.232, 0.806, 1.166, 0.553, 1.269, 1.179, 0.808, 1.269]","['A_6801', 'B_4002', 'DQA1_0102', 'DQA1_0103', 'DQB1_0201', 'DQB1_0502', 'DQB1_0602', 'DRB1_0301', 'DRB1_1301', 'DRB1_1501']",3
"Eye infection, viral",3,11,"[0.04989, 0.02639, 0.01834]","[0.245, 0.584, 2.573]","['DPB1_0101', 'DPB1_0401', 'DPB1_0501']",3
Fever of unknown origin,1,6,"[0.002424, 0.04359, 0.02783]","[0.875, 1.229, 0.826]","['C_0401', 'DRB1_0407', 'DRB1_1104']",3
Gangrene,1,6,"[0.01584, 0.004933, 0.01817, 0.01802, 0.02367]","[0.088, 1.898, 0.184, 1.728, 0.103]","['DQA1_0103', 'DQB1_0201', 'DQB1_0603', 'DRB1_0301', 'DRB1_1301']",3
Gastritis and duodenitis,2,8,"[0.02333, 0.03989, 0.01864, 0.03357, 0.04852, 0.01689, 0.0326]","[1.165, 1.329, 1.487, 1.293, 0.869, 0.464, 0.842]","['A_0201', 'B_1402', 'B_3701', 'C_0802', 'DQA1_0102', 'DQB1_0502', 'DQB1_0602']",3
Gastrointestinal complications,2,10,"[0.02864, 0.003295, 0.01713]","[1.244, 1.715, 1.791]","['A_0101', 'B_1302', 'DRB1_0103']",3
Gastrointestinal hemorrhage,2,8,"[0.0412, 0.02943, 0.007387, 0.03358, 0.0351, 0.007843, 0.007441, 0.005984, 0.01518]","[0.756, 1.216, 1.288, 0.705, 0.845, 1.246, 1.133, 1.425, 0.705]","['A_2301', 'A_3101', 'B_1402', 'B_3801', 'B_4403', 'C_0802', 'DQB1_0301', 'DRB1_0407', 'DRB1_1401']",3
Gingival and periodontal diseases,4,10,"[0.03707, 0.01924, 0.005849, 0.04147]","[0.75, 1.751, 2.048, 0.78]","['A_0301', 'A_2301', 'DPB1_1701', 'DQA1_0301']",3
Graft-versus-host disease,4,7,[0.01445],[1.947],['A_0301'],3
Gross hematuria,1,12,"[0.0448, 0.03498, 0.02787, 0.0268, 0.03361]","[0.734, 1.749, 2.241, 2.157, 1.756]","['A_0201', 'A_3101', 'B_4002', 'DPB1_1401', 'DQA1_0401']",3
"HIV infection, symptomatic",1,8,"[0.0003636, 0.02155, 0.006188]","[1.946, 1.572, 1.7]","['DQA1_0102', 'DQB1_0602', 'DRB1_1501']",3
Hallux valgus (Bunion),2,8,"[0.03405, 0.04483, 0.03164, 0.04129, 0.01252, 0.048, 0.0413]","[1.784, 1.632, 1.765, 0.639, 2.068, 1.603, 1.773]","['A_2601', 'A_3201', 'B_1402', 'C_0401', 'C_0704', 'C_0802', 'DPB1_0501']",3
Hemorrhage NOS,3,10,[0.008315],[1.867],['B_4402'],3
Hemorrhage of rectum and anus,2,8,"[0.01709, 0.01916, 0.01648, 0.01668, 0.03413, 0.04691]","[1.505, 1.429, 0.769, 0.768, 0.688, 1.327]","['B_1402', 'C_0802', 'DQB1_0201', 'DRB1_0301', 'DRB1_0404', 'DRB1_1302']",3
Hemorrhagic disorder due to intrinsic circulating anticoagulants,1,10,"[0.04185, 0.04784]","[1.571, 1.822]","['A_3101', 'DRB1_1201']",3
Hepatitis NOS,2,10,"[0.01873, 0.01781, 0.01655]","[1.424, 1.459, 0.44]","['A_0101', 'B_0801', 'DRB1_1101']",3
Human immunodeficiency virus [HIV] disease,1,8,"[0.0002159, 0.01126, 0.00306]","[1.979, 1.633, 1.759]","['DQA1_0102', 'DQB1_0602', 'DRB1_1501']",3
Hydrocele,3,10,"[0.01622, 0.04243, 0.04136, 0.04734, 0.0285, 0.04712]","[1.724, 0.303, 2.142, 1.582, 0.209, 2.332]","['B_4402', 'B_4403', 'DPB1_0501', 'DRB1_0101', 'DRB1_0404', 'DRB1_1201']",3
Hypertrophic obstructive cardiomyopathy,4,10,"[0.008776, 0.01302, 0.01073, 0.01405, 0.02551]","[2.672, 2.888, 2.304, 3.132, 2.826]","['A_2501', 'B_3701', 'C_0802', 'C_1402', 'DPB1_1701']",3
Hypothermia/Chills,1,6,"[0.01539, 0.04279, 0.01906]","[2.3, 0.466, 2.991]","['B_5701', 'DQB1_0501', 'DRB1_1201']",3
Immunity deficiency,3,10,"[0.006136, 0.04276, 0.003207, 0.01847, 0.03851, 0.01367, 0.03279]","[0.291, 1.222, 1.654, 0.758, 1.385, 1.487, 0.442]","['B_3503', 'B_4402', 'B_5501', 'C_0401', 'DQA1_0401', 'DQB1_0402', 'DRB1_1201']",3
Impaired fasting glucose,3,9,"[0.001331, 0.01337, 0.01419, 0.04758]","[0.573, 1.481, 1.479, 0.315]","['A_0101', 'B_4402', 'C_0501', 'DPB1_0601']",3
