phewas_string,x,y,p_values,odds_ratios,snps,cluster
Anomalies of tooth position/malocclusion,0,1,"[0.02342, 0.001895, 0.03164, 0.01165, 0.009288]","[2.039, 3.218, 1.613, 1.792, 1.817]","['B_1801', 'DPB1_1301', 'DQA1_0102', 'DQB1_0602', 'DRB1_1501']",2
Anorexia,4,2,"[0.01461, 0.03434, 0.00692]","[1.587, 1.323, 1.514]","['A_2501', 'B_4001', 'B_5701']",2
Antisocial/borderline personality disorder,0,0,"[0.04186, 0.02314, 0.02809, 0.0403, 0.03915]","[2.278, 1.81, 1.811, 2.044, 1.747]","['A_3101', 'DQA1_0102', 'DQB1_0602', 'DRB1_0404', 'DRB1_1501']",2
Anxiety disorder,0,2,"[0.01264, 0.01282, 0.002302, 0.04167, 0.03905, 0.02148, 0.001696, 0.03011, 0.009521, 0.002592, 0.04358]","[0.712, 0.875, 1.178, 1.117, 1.259, 0.816, 0.848, 1.223, 1.237, 0.853, 1.164]","['A_2301', 'B_0801', 'B_4402', 'C_0501', 'C_0704', 'C_1601', 'DQB1_0201', 'DQB1_0503', 'DQB1_0604', 'DRB1_0301', 'DRB1_1302']",2
Anxiety disorders,0,2,"[0.0337, 0.003048, 0.0377, 0.04887, 0.009191, 0.00102, 0.0005484, 0.001552, 0.005153]","[0.904, 1.153, 1.246, 1.101, 1.111, 0.858, 1.286, 0.862, 1.205]","['B_0801', 'B_4402', 'B_4901', 'C_0501', 'DQA1_0102', 'DQB1_0201', 'DQB1_0604', 'DRB1_0301', 'DRB1_1302']",2
Aphasia,1,5,"[0.0343, 0.03364, 0.01583, 0.004905, 0.03138, 0.03805, 0.006463, 0.0366]","[1.388, 1.55, 1.444, 2.206, 0.709, 1.381, 2.359, 1.381]","['B_0702', 'B_4403', 'C_0702', 'DPB1_1001', 'DQA1_0301', 'DQB1_0602', 'DRB1_0103', 'DRB1_1501']",2
Aphasia/speech disturbance,1,5,"[0.03207, 0.01754, 0.02292, 0.04648, 0.008731, 0.01938, 0.03084, 0.04722, 0.0401]","[0.744, 1.556, 1.25, 0.439, 1.286, 1.603, 0.812, 1.22, 1.229]","['A_2402', 'A_2501', 'B_0702', 'B_3503', 'C_0702', 'DPB1_1001', 'DQA1_0301', 'DQB1_0201', 'DRB1_0301']",2
Appendicitis,0,1,"[0.02481, 0.04574, 0.005928, 0.04019]","[0.496, 2.076, 1.528, 1.4]","['B_4001', 'DPB1_1401', 'DQA1_0102', 'DRB1_1501']",2
Atopic/contact dermatitis due to other or unspecified,2,4,"[0.007125, 0.04844, 0.005239, 0.0004807, 0.00942, 0.0007269, 0.002261, 0.00639, 0.0007808]","[0.838, 1.265, 1.195, 0.794, 1.156, 1.233, 0.806, 0.814, 1.232]","['A_0301', 'A_2601', 'B_0801', 'DQA1_0101', 'DQA1_0501', 'DQB1_0201', 'DQB1_0501', 'DRB1_0101', 'DRB1_0301']",2
Atrophic gastritis,5,2,"[0.04999, 0.03597, 0.02726]","[1.867, 1.497, 0.397]","['A_2601', 'DQB1_0501', 'DRB1_1301']",2
Attention deficit hyperactivity disorder,1,2,"[0.02991, 0.007436, 0.02714, 0.03784, 0.004453, 0.03167]","[0.741, 0.657, 1.782, 0.695, 1.995, 1.639]","['A_0101', 'B_0801', 'B_4901', 'C_0602', 'DPB1_1001', 'DQB1_0503']",2
Autism,2,1,"[0.02323, 0.003841, 0.03484]","[1.756, 2.617, 1.73]","['B_3501', 'B_5501', 'DQB1_0303']",2
Bariatric surgery,5,2,"[0.04584, 0.03857]","[0.312, 1.749]","['A_2601', 'B_1302']",2
Basal cell carcinoma,4,0,"[0.03038, 0.02941, 0.0007456, 0.0004989, 0.006266, 0.02006, 0.03192, 0.003861, 0.002071, 0.02836, 0.02943, 0.007006, 0.03929, 0.04692]","[1.366, 0.548, 1.971, 2.353, 0.493, 0.682, 1.515, 0.392, 1.454, 0.689, 1.326, 2.087, 0.724, 1.427]","['A_2402', 'A_2902', 'B_1402', 'B_3503', 'B_4403', 'C_0501', 'C_0802', 'C_1601', 'DQA1_0101', 'DQB1_0202', 'DQB1_0501', 'DRB1_0103', 'DRB1_0401', 'DRB1_0404']",2
Benign mammary dysplasias,2,3,"[0.01699, 0.01036, 0.01764, 0.04478, 0.01719, 0.04265]","[1.261, 1.675, 1.6, 1.379, 1.603, 0.847]","['A_2402', 'A_3001', 'B_3801', 'DPB1_1101', 'DPB1_1401', 'DQB1_0301']",2
Benign neoplasm of breast,2,2,"[0.0421, 0.0274, 0.02047, 0.01185, 0.04224, 0.03325, 0.03417]","[2.26, 2.418, 0.438, 1.874, 2.254, 2.231, 2.222]","['A_2601', 'B_5501', 'DPB1_0201', 'DPB1_0402', 'DPB1_1101', 'DQB1_0402', 'DQB1_0503']",2
Benign neoplasm of colon,4,1,"[0.0248, 0.02147, 0.02199, 0.004869, 0.04623]","[0.892, 1.278, 1.433, 1.294, 0.797]","['A_0201', 'B_1402', 'B_4002', 'C_0802', 'DPA1_0202']",2
Benign neoplasm of ovary,0,3,"[0.04102, 0.0202, 0.002053, 0.03578, 0.03232, 0.02093]","[2.104, 0.481, 2.933, 2.994, 0.397, 2.237]","['B_2705', 'DQA1_0301', 'DQB1_0604', 'DRB1_0103', 'DRB1_0401', 'DRB1_1302']",2
Benign neoplasm of thyroid glands,4,2,"[0.009939, 0.01683]","[1.968, 0.551]","['A_0201', 'DPB1_0401']",2
Blood in stool,3,0,"[0.01661, 0.03742, 0.001225, 0.04604, 0.0265, 0.0242, 0.04032]","[1.352, 1.281, 1.245, 1.174, 1.5, 1.255, 0.632]","['A_3101', 'C_0802', 'DQB1_0301', 'DRB1_0101', 'DRB1_0407', 'DRB1_1101', 'DRB1_1401']",2
Bone cancer,4,2,"[0.006594, 0.0359, 0.03352]","[1.565, 1.264, 1.305]","['B_5101', 'DQA1_0301', 'DRB1_0401']",2
Bone marrow or stem cell transplant,0,5,"[0.02336, 0.03318, 0.02995, 0.01074, 0.008089, 0.03935, 0.03194, 0.01644, 0.04481, 0.02828, 0.04113]","[1.302, 1.283, 0.459, 1.339, 1.337, 0.792, 0.747, 1.325, 1.456, 0.741, 1.271]","['A_0301', 'B_0702', 'B_1402', 'C_0702', 'DQA1_0102', 'DQA1_0501', 'DQB1_0201', 'DQB1_0602', 'DQB1_0604', 'DRB1_0301', 'DRB1_1501']",2
Cachexia,3,5,"[0.01256, 0.01142, 0.02391, 0.0086]","[1.992, 2.043, 0.56, 2.553]","['A_1101', 'B_4001', 'DQA1_0501', 'DQB1_0503']",2
Cancer of connective tissue,4,2,"[0.02903, 0.04367]","[1.681, 0.787]","['B_3701', 'C_0702']",2
Cancer of other endocrine glands,2,3,"[0.03457, 0.04735, 0.004489, 0.02004]","[2.682, 0.512, 3.374, 1.985]","['B_3801', 'DPB1_0402', 'DPB1_1401', 'DQB1_0303']",2
"Cancer of other lymphoid, histiocytic tissue",4,2,[0.01668],[1.199],['B_0801'],2
Cancer of other male genital organs,0,0,"[0.01983, 0.03876, 0.01624]","[1.674, 0.227, 1.736]","['DQA1_0102', 'DQB1_0303', 'DRB1_1501']",2
Cancer of prostate,4,2,"[0.008931, 0.03229, 0.0391]","[1.555, 0.812, 1.425]","['A_3001', 'B_3501', 'B_3801']",2
Carcinoid syndrome,2,2,"[0.0483, 0.005722, 0.04026, 0.02243, 0.005364]","[0.137, 3.049, 0.477, 2.51, 2.107]","['B_3501', 'B_5501', 'DPA1_0201', 'DQB1_0503', 'DRB1_0401']",2
Cardiac arrest,3,5,"[0.0145, 0.04018, 0.02638, 0.0121, 0.04282]","[1.711, 0.569, 0.605, 2.522, 0.642]","['A_1101', 'DQB1_0202', 'DQB1_0602', 'DRB1_1201', 'DRB1_1501']",2
Cellulitis and abscess of face/neck,4,0,"[0.003852, 0.006044, 0.02525, 0.01881, 0.0125]","[2.104, 1.902, 2.018, 2.25, 0.354]","['B_1402', 'C_0802', 'DPB1_1301', 'DPB1_1401', 'DRB1_0404']",2
Cellulitis and abscess of trunk,2,4,"[0.03964, 0.04546, 0.01052, 0.01918]","[1.802, 1.235, 0.679, 1.319]","['B_1401', 'DQA1_0301', 'DRB1_0101', 'DRB1_0401']",2
Cerebral aneurysm,4,4,"[0.0248, 0.02611, 0.02498, 0.03015, 0.005296, 0.03956, 0.03242]","[1.82, 2.167, 2.097, 0.282, 2.636, 0.686, 0.603]","['A_6801', 'B_3503', 'C_0704', 'C_0802', 'DPB1_1401', 'DQA1_0301', 'DRB1_0401']",2
Cerebral edema and compression of brain,4,4,"[0.002091, 0.01151, 0.01742, 0.04099, 0.01254]","[1.644, 1.716, 1.791, 0.357, 1.879]","['A_6801', 'DPB1_1001', 'DPB1_1401', 'DPB1_1701', 'DQB1_0502']",2
Certain early complications of trauma or procedure,2,0,"[0.004466, 0.02573, 0.02117, 0.01176]","[1.572, 1.329, 1.342, 0.522]","['DPB1_0101', 'DQB1_0201', 'DRB1_0301', 'DRB1_1101']",2
Chemotherapy,4,2,"[0.04437, 0.005778]","[0.806, 1.18]","['A_2301', 'DQB1_0303']",2
Cholelithiasis,5,1,"[0.04279, 0.02577, 0.01108, 0.04076, 0.03706, 0.004361, 0.03316, 0.004295]","[1.362, 0.797, 1.491, 0.85, 1.37, 1.448, 0.814, 1.402]","['B_1402', 'C_0501', 'DPB1_0501', 'DQA1_0301', 'DQB1_0503', 'DQB1_0604', 'DRB1_0401', 'DRB1_1302']",2
Cholelithiasis with acute cholecystitis,0,5,"[0.01679, 0.04173, 0.02204, 0.02022, 0.003629, 0.03006, 0.01935, 0.01409, 0.004163, 0.00958, 0.0215]","[2.505, 1.768, 2.12, 1.898, 2.221, 0.491, 0.296, 1.978, 2.855, 2.484, 1.894]","['A_3201', 'B_0702', 'B_4001', 'C_0702', 'DQA1_0102', 'DQA1_0301', 'DQB1_0302', 'DQB1_0602', 'DQB1_0604', 'DRB1_1302', 'DRB1_1501']",2
Chorioretinal scars,0,0,"[0.04168, 0.002887, 0.04039, 0.0208, 0.03237]","[1.827, 3.689, 1.79, 1.959, 1.862]","['A_0201', 'DPB1_1001', 'DQA1_0102', 'DQB1_0602', 'DRB1_1501']",2
"Chronic Kidney Disease, Stage III",1,0,"[0.02046, 0.04012, 0.04772, 0.02256, 0.04212, 0.02456, 0.0125, 0.001834, 0.001817, 0.00437, 0.03027, 0.001821, 0.004547]","[0.84, 1.163, 0.62, 1.235, 1.181, 0.848, 1.369, 1.22, 1.248, 0.804, 0.831, 1.249, 0.807]","['B_0702', 'B_0801', 'B_3801', 'B_4001', 'C_0304', 'C_0702', 'DQA1_0401', 'DQA1_0501', 'DQB1_0201', 'DQB1_0602', 'DRB1_0101', 'DRB1_0301', 'DRB1_1501']",2
"Chronic Kidney Disease, Stage IV",1,0,"[0.04931, 0.02583, 0.008452, 0.03721, 0.0273, 0.02059, 0.02472]","[1.428, 1.207, 1.542, 0.81, 1.639, 1.514, 0.798]","['A_2501', 'DQA1_0501', 'DQB1_0402', 'DQB1_0602', 'DRB1_0103', 'DRB1_0801', 'DRB1_1501']",2
"Chronic glomerulonephritis, NOS",2,5,"[0.02604, 0.01858, 0.01104, 0.004826, 0.0187, 0.02316, 0.001859]","[1.671, 0.394, 1.779, 1.906, 0.435, 0.407, 2.03]","['B_0702', 'B_4402', 'C_0702', 'DQB1_0201', 'DQB1_0501', 'DRB1_0101', 'DRB1_0301']",2
Chronic pancreatitis,5,1,"[0.0294, 0.04565, 0.03422]","[2.074, 2.195, 1.571]","['B_1402', 'C_0704', 'DPB1_0201']",2
Chronic prostatitis,3,3,"[0.01193, 0.04384, 0.02503, 0.03521, 0.04101, 0.0238, 0.01306]","[3.951, 0.299, 0.419, 0.398, 1.812, 1.964, 3.121]","['B_3801', 'C_0401', 'DPA1_0103', 'DPA1_0201', 'DQA1_0102', 'DQB1_0602', 'DRB1_1104']",2
Chronic renal failure [CKD],1,0,"[0.006444, 0.002419, 0.01902, 0.02346, 0.01529, 0.000567, 0.0428, 0.02051, 0.0005444, 0.02476, 0.03659]","[0.647, 0.683, 1.138, 1.22, 1.109, 1.179, 1.205, 0.892, 1.18, 0.74, 0.903]","['B_3801', 'B_5501', 'C_0304', 'DQA1_0401', 'DQA1_0501', 'DQB1_0201', 'DQB1_0402', 'DQB1_0602', 'DRB1_0301', 'DRB1_1401', 'DRB1_1501']",2
Chronic thyroiditis,4,2,"[0.01006, 0.03775, 0.0432]","[1.657, 0.227, 0.357]","['B_0801', 'DQB1_0604', 'DRB1_1302']",2
Chronic ulcer of leg or foot,2,4,"[0.01537, 0.01884, 0.0338, 0.02588, 0.01078, 0.007489, 0.009419]","[0.742, 1.729, 0.777, 0.785, 1.338, 0.714, 0.725]","['B_0702', 'B_3701', 'C_0702', 'DQA1_0102', 'DQB1_0302', 'DQB1_0602', 'DRB1_1501']",2
Coma,4,4,"[0.04749, 0.01251, 0.04376]","[1.953, 0.23, 2.545]","['A_6801', 'B_1501', 'DPB1_1401']",2
"Complications of gastrostomy, colostomy and enterostomy",5,2,[0.01146],[0.676],['A_0101'],2
Conduct disorders,0,2,"[0.02116, 0.01435, 0.02816, 0.0172, 0.006692, 0.04687, 0.03558, 0.04968]","[1.517, 1.464, 0.427, 1.486, 0.556, 1.342, 1.659, 1.547]","['A_2402', 'B_0702', 'B_2705', 'C_0501', 'DPB1_0402', 'DQA1_0102', 'DQB1_0604', 'DRB1_1302']",2
Congenital factor VIII disorder,0,0,"[0.01471, 0.03182, 0.007118]","[2.097, 1.954, 2.284]","['DQA1_0102', 'DQB1_0602', 'DRB1_1501']",2
Congenital musculoskeletal deformities of spine,2,1,"[0.007512, 0.02831, 0.01822]","[2.087, 2.391, 3.005]","['B_4001', 'B_5501', 'DQB1_0502']",2
Corns and callosities,1,2,"[0.02489, 0.02636, 0.04868, 0.03555, 0.008093, 0.04159, 0.04218, 0.04068, 0.03649]","[1.979, 1.927, 0.538, 0.484, 1.781, 0.618, 0.512, 1.822, 0.466]","['A_2501', 'A_2601', 'B_1501', 'C_0303', 'DPB1_0101', 'DPB1_0402', 'DQA1_0103', 'DQB1_0503', 'DRB1_1301']",2
Coronary atherosclerosis,3,0,"[0.03997, 0.008993, 0.03145, 0.009667, 0.01661, 0.04426, 0.02682, 0.03116, 0.004668, 0.004183]","[0.834, 0.798, 0.778, 0.728, 1.332, 0.863, 0.92, 1.082, 0.888, 0.888]","['A_2601', 'B_1402', 'B_3503', 'B_3801', 'B_3901', 'C_0802', 'DQA1_0102', 'DQA1_0501', 'DQB1_0602', 'DRB1_1501']",2
Cramp of limb,3,3,"[0.007113, 0.03391, 0.0266]","[3.045, 0.516, 1.888]","['B_3801', 'DQB1_0201', 'DRB1_1101']",2
Curvature of spine,4,1,"[0.0165, 0.03067, 0.01822, 0.01132, 0.008724, 0.001658]","[1.429, 1.478, 0.608, 0.639, 0.569, 1.412]","['A_2902', 'B_1402', 'B_2705', 'B_3501', 'C_0202', 'C_0602']",2
Cutaneous lupus erythematosus,2,4,"[0.01937, 0.04885, 0.04507, 0.01686, 0.0433, 0.03847, 0.04905]","[1.864, 0.364, 0.493, 0.548, 1.589, 1.607, 0.529]","['A_1101', 'C_0303', 'C_0501', 'DQA1_0301', 'DQB1_0201', 'DRB1_0301', 'DRB1_0401']",2
Cystic mastopathy,2,3,"[0.0453, 0.008723, 0.008021, 0.04316, 0.04358]","[1.239, 1.759, 1.738, 1.2, 1.556]","['A_2402', 'A_3001', 'B_3801', 'DPA1_0201', 'DPB1_1401']",2
Degenerative disease of the spinal cord,4,3,"[0.0105, 0.0455, 0.03829, 0.04105]","[1.695, 0.792, 0.475, 1.262]","['A_2501', 'DPA1_0103', 'DPB1_1101', 'DRB1_1501']",2
Delirium dementia and amnestic and other cognitive disorders,1,1,"[0.03031, 0.02585, 0.01301]","[0.773, 1.321, 0.716]","['B_3501', 'C_0102', 'DRB1_0404']",2
Dementias,1,1,"[0.04866, 0.02409, 0.0212, 0.006757]","[1.408, 0.715, 1.418, 0.628]","['A_2601', 'B_3501', 'C_0102', 'DRB1_0404']",2
"Dentofacial anomalies, including malocclusion",0,1,"[0.01517, 0.04032, 0.003216, 0.03269, 0.008524, 0.006976]","[2.085, 1.62, 3.018, 1.587, 1.803, 1.823]","['B_1801', 'DPB1_0402', 'DPB1_1301', 'DQA1_0102', 'DQB1_0602', 'DRB1_1501']",2
Depression,0,2,"[0.01492, 0.04882, 0.02323, 0.02694, 0.04405, 0.02162]","[0.729, 1.22, 0.895, 1.087, 1.153, 1.157]","['B_3801', 'B_4901', 'C_0401', 'DQA1_0102', 'DQB1_0604', 'DRB1_1302']",2
Dermatochalasis,2,1,[0.01051],[1.784],['B_5501'],2
Develomental delays and disorders,1,1,"[0.02552, 0.02871]","[0.631, 1.541]","['A_6801', 'DPB1_1001']",2
Diaphragmatic hernia,2,0,"[0.004327, 0.03475, 0.03362, 0.004948, 0.005353]","[0.762, 1.302, 0.836, 0.771, 0.772]","['B_0801', 'C_0202', 'C_0701', 'DQB1_0201', 'DRB1_0301']",2
Diseases of esophagus,5,2,"[0.02699, 0.03855, 0.02315]","[1.143, 0.93, 0.832]","['A_6801', 'B_0702', 'DRB1_1104']",2
Diseases of sebaceous glands,2,4,"[0.001309, 0.04459, 0.005517, 0.009039, 0.0136, 0.03991, 0.02367, 0.03643, 0.03768, 0.04402, 0.04164]","[1.484, 0.808, 0.503, 1.516, 1.242, 0.81, 1.193, 1.246, 0.863, 1.164, 0.857]","['A_2601', 'B_3501', 'B_3701', 'B_3801', 'B_4001', 'C_0303', 'C_0304', 'C_1203', 'DQA1_0101', 'DQB1_0202', 'DQB1_0501']",2
Diseases of the jaws,5,2,"[0.001273, 0.04971]","[1.465, 0.248]","['A_0201', 'DRB1_0901']",2
Disorders of amino-acid metabolism,4,2,[0.006976],[2.31],['DQB1_0302'],2
Disorders of esophageal motility,5,0,"[0.01803, 0.02457, 0.03522, 0.02998, 0.02645, 0.04921]","[1.887, 2.232, 1.941, 0.537, 2.303, 2.505]","['A_1101', 'B_1402', 'B_2705', 'C_0701', 'DPB1_0501', 'DPB1_1401']",2
Disorders of function of stomach,1,0,"[0.04149, 0.03362, 0.0026, 0.04158, 0.04964, 0.04855, 0.02932]","[1.253, 0.582, 1.334, 0.845, 1.171, 1.363, 1.436]","['B_4001', 'B_5501', 'C_0304', 'DQA1_0102', 'DQB1_0301', 'DQB1_0402', 'DRB1_0801']",2
Disorders of lipoid metabolism,0,4,"[0.00266, 0.02294, 0.001556, 0.002278, 0.02155, 0.04503, 0.04291, 0.02231, 0.0482, 0.001017, 0.005586, 0.02451, 0.004556, 0.0002066]","[0.904, 1.107, 1.131, 0.905, 0.879, 0.866, 1.173, 1.108, 1.14, 0.895, 1.175, 1.112, 1.158, 0.883]","['B_0702', 'B_4001', 'C_0304', 'C_0702', 'C_1601', 'DPB1_1101', 'DPB1_1301', 'DQA1_0103', 'DQB1_0503', 'DQB1_0602', 'DQB1_0604', 'DRB1_1301', 'DRB1_1302', 'DRB1_1501']",2
Disorders of parathyroid gland,4,2,[0.01454],[0.581],['DPB1_0101'],2
Disorders of sweat glands,0,5,"[0.03273, 0.02534, 0.008687, 0.004271, 0.01236, 0.04998, 0.0329, 0.01621, 0.04201, 0.03003, 0.01901]","[1.645, 1.671, 2.348, 2.188, 2.549, 0.562, 1.607, 0.427, 1.613, 1.692, 1.72]","['B_0702', 'C_0702', 'DPA1_0202', 'DPB1_0101', 'DPB1_0501', 'DQA1_0101', 'DQA1_0102', 'DQB1_0501', 'DQB1_0602', 'DRB1_0401', 'DRB1_1501']",2
"Disorders of uterus, NEC",3,3,"[0.03517, 0.04331]","[2.665, 0.355]","['B_3801', 'C_0303']",2
Disorders resulting from impaired renal function,1,0,"[0.02004, 0.0173, 0.04248, 0.002083, 0.03136, 0.0131, 0.04732, 0.003822, 0.02616]","[1.323, 1.29, 1.191, 1.335, 1.446, 0.771, 1.357, 1.314, 0.796]","['B_4001', 'C_0304', 'DQA1_0501', 'DQB1_0201', 'DQB1_0402', 'DQB1_0602', 'DQB1_0604', 'DRB1_0301', 'DRB1_1501']",2
Disturbance of skin sensation,2,4,"[0.00399, 0.03404, 0.01463, 0.009659, 0.02926, 0.00842, 0.0419, 0.007397, 0.002353, 0.005635]","[1.204, 1.161, 1.173, 1.308, 0.551, 1.194, 1.136, 1.199, 0.69, 1.204]","['A_0101', 'B_0801', 'C_0701', 'C_1203', 'C_1402', 'DPB1_0401', 'DQA1_0102', 'DQB1_0602', 'DRB1_0404', 'DRB1_1501']",2
Diverticulitis,5,2,"[0.03127, 0.02157, 0.04437, 0.01244, 0.007299]","[0.409, 1.429, 0.725, 0.712, 0.258]","['A_2501', 'C_0303', 'C_0401', 'C_0702', 'DPB1_0601']",2
Diverticulosis,5,1,"[0.0113, 0.02786, 0.0495, 0.02862]","[1.343, 1.207, 1.121, 0.789]","['B_1402', 'C_0303', 'DQA1_0501', 'DRB1_0404']",2
Diverticulosis and diverticulitis,5,1,"[0.04812, 0.01704, 0.03092, 0.03273, 0.005049, 0.008496, 0.03293]","[1.247, 1.209, 0.729, 0.887, 1.163, 0.764, 1.199]","['B_1402', 'C_0303', 'DPB1_0601', 'DQA1_0301', 'DQA1_0501', 'DRB1_0404', 'DRB1_1101']",2
Dyspepsia and other specified disorders of function of stomach,5,2,"[0.04031, 0.03473, 0.016, 0.03733, 0.02364]","[1.267, 1.3, 0.692, 0.756, 1.915]","['A_0201', 'B_0702', 'B_0801', 'C_0701', 'C_1402']",2
Dysplasia of female genital organs,0,5,"[0.04373, 0.000279, 0.00226, 0.04399, 0.03986, 0.02384, 0.001907, 0.04642, 0.04875, 0.001276]","[1.828, 2.571, 2.215, 1.752, 1.703, 1.86, 2.254, 1.949, 0.137, 2.316]","['A_2402', 'B_0702', 'C_0702', 'DPB1_0301', 'DQA1_0102', 'DQB1_0302', 'DQB1_0602', 'DRB1_1101', 'DRB1_1301', 'DRB1_1501']",2
Eating disorder,0,3,"[0.04308, 0.0009671, 0.0153]","[0.42, 2.883, 2.173]","['C_0401', 'DQB1_0604', 'DRB1_1302']",2
Electrolyte imbalance,3,0,"[0.04253, 0.03556, 0.009733, 0.03251, 0.001588, 0.01151, 0.02967, 0.0486, 0.03393, 0.03924, 0.03347]","[0.825, 0.847, 1.163, 0.794, 1.22, 0.897, 0.865, 1.105, 0.921, 1.085, 0.923]","['A_2301', 'B_1402', 'B_2705', 'B_3801', 'C_0102', 'C_0401', 'C_0802', 'DPB1_0101', 'DPB1_0201', 'DPB1_0301', 'DQB1_0602']",2
