phewas_string,x,y,p_values,odds_ratios,snps,cluster
Acute and subacute necrosis of liver,8,0,"[0.03616, 0.008744, 0.04784, 0.02006, 0.002558, 0.005829, 0.0002533, 0.04408, 0.0005113, 0.03146]","[0.632, 1.799, 1.541, 1.671, 2.192, 1.81, 2.21, 0.555, 2.13, 0.534]","['A_0201', 'B_0801', 'C_0701', 'DPA1_0201', 'DPB1_0101', 'DQA1_0501', 'DQB1_0201', 'DQB1_0602', 'DRB1_0301', 'DRB1_1501']",1
Acute bronchitis and bronchiolitis,11,3,"[0.02516, 3.452e-05, 0.0003915, 0.03274, 0.02842, 0.04925, 0.01311, 0.03514, 0.03642, 0.02245, 0.04042, 0.02782]","[0.689, 1.875, 1.558, 1.471, 1.255, 1.162, 1.382, 1.428, 1.425, 1.168, 1.167, 1.162]","['A_2601', 'A_3001', 'B_1302', 'B_4002', 'C_0202', 'C_0602', 'DPB1_0501', 'DPB1_1401', 'DPB1_1701', 'DQA1_0201', 'DQB1_0202', 'DRB1_0701']",1
Acute osteomyelitis,8,5,"[0.009903, 0.03585, 0.03984, 0.04345]","[1.593, 0.485, 1.462, 0.479]","['DQB1_0302', 'DQB1_0603', 'DRB1_0401', 'DRB1_1301']",1
Acute pancreatitis,8,5,"[0.02171, 0.002368, 0.01469, 0.0419, 0.01376, 0.03349]","[0.586, 1.452, 1.397, 0.629, 1.403, 1.474]","['DQA1_0103', 'DQA1_0301', 'DQB1_0302', 'DQB1_0603', 'DRB1_0401', 'DRB1_0404']",1
Acute pharyngitis,8,1,"[0.002534, 0.001608, 0.04098, 0.02359, 0.001054, 0.004016, 0.03675, 0.03617, 0.03881, 0.02498, 0.0009996, 0.0006683, 0.04306]","[0.772, 1.596, 1.297, 1.358, 0.728, 0.781, 1.461, 1.31, 0.763, 0.841, 0.734, 0.724, 1.257]","['A_0101', 'A_2601', 'A_2902', 'A_6801', 'B_0801', 'C_0701', 'C_0704', 'C_1203', 'DPB1_0101', 'DQA1_0501', 'DQB1_0201', 'DRB1_0301', 'DRB1_1101']",1
Acute renal failure,7,5,"[0.01368, 0.001302, 0.01216]","[1.122, 1.462, 1.125]","['DQB1_0201', 'DRB1_0103', 'DRB1_0301']",1
Acute upper respiratory infections of multiple or unspecified sites,9,4,"[0.03541, 0.01484, 0.01493, 0.0373, 0.01048, 0.0055, 0.004897, 0.005953, 0.04865, 0.02253]","[0.907, 1.335, 1.247, 0.87, 1.298, 0.892, 0.873, 0.876, 0.76, 0.779]","['A_0301', 'A_3001', 'B_1302', 'DPB1_0101', 'DPB1_1001', 'DQA1_0501', 'DQB1_0201', 'DRB1_0301', 'DRB1_0901', 'DRB1_1104']",1
Adjustment reaction,9,3,"[0.0428, 0.04206, 0.03289, 0.04566, 0.03334, 0.04578]","[0.563, 1.445, 0.697, 1.187, 0.829, 0.839]","['B_3503', 'B_4901', 'C_0102', 'DPB1_0301', 'DQB1_0201', 'DRB1_0301']",1
Adrenal cortical steroids causing adverse effects in therapeutic use,6,6,"[0.03878, 0.01336, 0.03263, 0.02963, 0.009126]","[0.626, 1.88, 0.546, 0.567, 2.214]","['A_0301', 'B_1801', 'C_0401', 'DPB1_0301', 'DPB1_1101']",1
Adrenal hyperfunction,12,1,"[0.003208, 0.03623, 0.0349, 0.006419, 0.01299, 0.02811, 0.04218, 0.04516, 0.03402, 0.01312]","[1.816, 0.122, 0.59, 2.472, 1.606, 1.734, 0.595, 2.329, 0.601, 1.605]","['C_0602', 'DPA1_0202', 'DPB1_0201', 'DPB1_1001', 'DQA1_0201', 'DQB1_0303', 'DQB1_0501', 'DQB1_0502', 'DQB1_0602', 'DRB1_0701']",1
Adrenal hypofunction,10,3,"[0.03241, 0.04474, 0.01937, 0.01639, 0.04291, 0.007571, 0.005592, 0.03605, 0.02933]","[1.58, 1.683, 1.909, 0.248, 1.299, 1.382, 0.51, 1.294, 1.426]","['B_1302', 'B_3503', 'C_1402', 'DPB1_1301', 'DQB1_0202', 'DQB1_0302', 'DQB1_0303', 'DRB1_0401', 'DRB1_0404']",1
Adult failure to thrive,6,6,"[0.0419, 0.01716, 0.02071, 0.01023]","[1.55, 1.482, 1.604, 1.924]","['A_2501', 'C_0202', 'DPB1_1101', 'DRB1_1201']",1
Allergic conjunctivitis,7,4,"[0.02074, 0.03726]","[1.465, 0.738]","['B_5101', 'DPB1_0301']",1
Allergic reaction to food,8,6,"[0.0139, 0.01582, 0.04917, 0.04063, 0.03077]","[2.655, 0.606, 1.833, 0.584, 2.061]","['C_1402', 'DQA1_0301', 'DQA1_0401', 'DQB1_0302', 'DRB1_0801']",1
Allergic rhinitis,9,3,"[0.0133, 0.01199, 0.02521, 0.006488, 0.008355, 0.01111, 0.03181, 0.02095, 0.0005871, 0.007812, 0.00862]","[1.254, 0.886, 1.233, 1.154, 0.883, 1.205, 1.311, 0.886, 0.864, 0.877, 0.878]","['A_2601', 'B_0702', 'B_1302', 'C_0602', 'C_0702', 'C_1203', 'C_1402', 'DPB1_0301', 'DQA1_0501', 'DQB1_0201', 'DRB1_0301']",1
Amblyopia,8,5,"[0.01081, 0.004131]","[1.728, 1.918]","['DQA1_0301', 'DRB1_0401']",1
"Anomalies of respiratory system, congenital",6,0,"[0.04074, 0.02086, 0.02474, 0.04771]","[2.423, 1.614, 1.619, 1.561]","['B_3503', 'DQA1_0101', 'DQB1_0501', 'DRB1_0101']",1
Aphakia and other disorders of lens,7,4,[0.02671],[0.484],['DPA1_0201'],1
Arthropathy associated with infections,8,3,"[0.005778, 0.01935, 0.04321, 0.03561, 0.02907, 0.02335, 0.02611, 0.01261, 0.03952, 0.02126]","[1.488, 0.658, 0.481, 1.559, 2.119, 1.381, 0.669, 1.481, 0.231, 0.662]","['A_0201', 'A_0301', 'B_1801', 'B_5101', 'C_1402', 'DQA1_0301', 'DQB1_0602', 'DRB1_0401', 'DRB1_1104', 'DRB1_1501']",1
Aspergillosis,6,0,"[0.01515, 0.02458, 0.01262, 0.002795]","[3.547, 1.858, 2.015, 4.09]","['C_1402', 'DQA1_0101', 'DQB1_0501', 'DRB1_0103']",1
Astigmatism,7,4,"[0.01037, 0.02417, 0.04553, 0.02449]","[1.876, 0.568, 1.929, 2.28]","['C_0102', 'C_0401', 'C_0704', 'DQB1_0502']",1
Atherosclerosis,8,2,"[0.03067, 0.02084, 0.02307, 0.0251, 0.04784, 0.01757, 0.01932, 0.03602, 0.03082]","[1.151, 1.219, 0.817, 1.298, 1.151, 1.552, 1.166, 0.86, 0.858]","['A_0101', 'A_1101', 'A_2402', 'A_6801', 'B_0801', 'B_1401', 'C_0701', 'DQB1_0602', 'DRB1_1501']",1
Atherosclerosis of renal artery,8,4,"[0.002374, 0.0285]","[2.758, 1.625]","['B_4002', 'C_0202']",1
Atherosclerosis of the extremities,8,2,"[0.0003812, 0.01557, 0.006504, 0.02042, 0.003477, 0.03684, 0.008198, 0.04546, 0.01473, 0.04113, 0.002602, 0.03236]","[1.358, 0.738, 1.29, 0.703, 1.291, 0.832, 1.249, 1.204, 1.481, 0.817, 1.331, 1.452]","['A_0101', 'A_2402', 'B_0801', 'B_3501', 'C_0701', 'DQA1_0102', 'DQA1_0301', 'DQB1_0201', 'DQB1_0402', 'DQB1_0602', 'DRB1_0401', 'DRB1_0801']",1
Atopic/contact dermatitis due to other or unspecified,7,0,"[0.007125, 0.04844, 0.005239, 0.0004807, 0.00942, 0.0007269, 0.002261, 0.00639, 0.0007808]","[0.838, 1.265, 1.195, 0.794, 1.156, 1.233, 0.806, 0.814, 1.232]","['A_0301', 'A_2601', 'B_0801', 'DQA1_0101', 'DQA1_0501', 'DQB1_0201', 'DQB1_0501', 'DRB1_0101', 'DRB1_0301']",1
Autoimmune hemolytic anemias,8,2,"[0.01992, 0.02411, 0.02475, 0.02042, 0.03723]","[1.83, 1.757, 1.745, 1.815, 1.717]","['B_0801', 'C_0701', 'DQA1_0501', 'DQB1_0201', 'DRB1_0301']",1
Bacterial pneumonia,11,3,"[0.007604, 0.04534, 0.04274, 0.01859, 0.007598, 0.01867, 0.005058, 0.02393, 0.007011]","[1.697, 1.32, 0.825, 0.778, 1.404, 1.203, 1.266, 1.235, 1.255]","['A_3001', 'A_6801', 'B_0801', 'C_0401', 'C_1601', 'DPA1_0103', 'DQA1_0201', 'DQB1_0202', 'DRB1_0701']",1
Benign neoplasm of ovary,7,3,"[0.04102, 0.0202, 0.002053, 0.03578, 0.03232, 0.02093]","[2.104, 0.481, 2.933, 2.994, 0.397, 2.237]","['B_2705', 'DQA1_0301', 'DQB1_0604', 'DRB1_0103', 'DRB1_0401', 'DRB1_1302']",1
Benign neoplasm of uterus,6,4,"[0.0137, 0.001714, 0.01122, 0.04649, 0.01542, 0.04654, 0.005361, 0.0154]","[1.446, 0.3, 1.613, 0.613, 0.473, 0.634, 1.729, 1.56]","['A_2402', 'A_2902', 'B_2705', 'B_4403', 'C_1601', 'DPB1_0101', 'DQB1_0604', 'DRB1_1302']",1
Blindness and low vision,10,4,"[0.007459, 0.0001123, 0.01761, 0.03451, 0.03248, 0.02785, 0.0241, 0.03752]","[2.164, 2.314, 1.499, 0.569, 1.38, 0.491, 1.38, 0.583]","['A_3001', 'B_1302', 'B_4001', 'B_4403', 'C_0602', 'C_1601', 'DQB1_0302', 'DRB1_1101']",1
Bone cancer,8,5,"[0.006594, 0.0359, 0.03352]","[1.565, 1.264, 1.305]","['B_5101', 'DQA1_0301', 'DRB1_0401']",1
Breast cancer,6,4,"[0.01574, 0.0352, 0.0007168, 0.00203, 0.02748, 0.03551]","[1.193, 0.757, 0.816, 0.804, 0.627, 0.725]","['A_2402', 'DQA1_0401', 'DQB1_0301', 'DRB1_0401', 'DRB1_0407', 'DRB1_0801']",1
Breast cancer [female],6,4,"[0.01851, 0.003467, 0.001213, 0.02, 0.04724, 0.006797, 0.04774, 0.02539, 0.005426]","[1.195, 0.656, 0.818, 0.712, 1.378, 0.821, 1.204, 0.611, 0.627]","['A_2402', 'DQA1_0401', 'DQB1_0301', 'DQB1_0402', 'DRB1_0103', 'DRB1_0401', 'DRB1_0404', 'DRB1_0407', 'DRB1_0801']",1
"Breast conditions, congenital or relating to hormones",6,6,"[0.03642, 0.01564]","[1.615, 2.158]","['B_1501', 'DPB1_1101']",1
Bronchiectasis,7,6,"[0.0499, 0.005517, 0.009126]","[0.411, 0.285, 1.451]","['B_1402', 'C_0802', 'DQB1_0302']",1
Bursitis disorders,7,6,"[0.04447, 0.02943, 0.04921, 0.01389]","[0.601, 1.84, 1.762, 2.277]","['A_0301', 'B_2705', 'C_0202', 'DRB1_0801']",1
Calculus of lower urinary tract,7,5,[0.01598],[1.78],['C_0702'],1
Calculus of ureter,7,5,"[0.006677, 0.02421, 0.02014, 0.03792]","[0.729, 0.27, 0.516, 0.528]","['A_0201', 'A_2301', 'B_2705', 'C_0102']",1
Cancer of esophagus,11,2,"[0.008322, 0.00272, 0.01423, 0.02381, 0.02476]","[1.644, 2.209, 1.665, 1.388, 1.385]","['B_4403', 'C_0704', 'C_1601', 'DQA1_0201', 'DRB1_0701']",1
Cancer of larynx,12,3,"[0.008785, 0.01547, 0.02375, 0.008748, 0.01716, 0.02407, 0.003235, 0.001452, 0.002347, 0.02474, 0.0214, 0.04622, 0.002093]","[1.669, 1.466, 1.228, 1.273, 0.374, 1.221, 1.565, 1.302, 1.319, 0.618, 0.812, 1.518, 1.29]","['A_3001', 'B_1302', 'C_0501', 'C_0602', 'C_1402', 'DPB1_0301', 'DPB1_1101', 'DQA1_0201', 'DQB1_0202', 'DQB1_0503', 'DQB1_0602', 'DRB1_0407', 'DRB1_0701']",1
"Cancer of larynx, pharynx, nasal cavities",12,3,"[0.04892, 0.03211, 0.00304, 0.04808, 0.007536, 0.04219, 0.001367, 0.002618, 0.004323, 0.01401, 0.00916, 0.003605, 0.04372]","[1.15, 1.481, 1.51, 0.545, 1.246, 0.536, 1.546, 1.25, 1.263, 0.821, 1.604, 1.241, 0.577]","['A_0101', 'A_3001', 'B_1302', 'B_4002', 'C_0602', 'C_1402', 'DPB1_1101', 'DQA1_0201', 'DQB1_0202', 'DQB1_0602', 'DRB1_0407', 'DRB1_0701', 'DRB1_1201']",1
Cancer of mouth,12,3,"[0.01819, 0.03367, 0.007699, 0.01037, 0.04736, 0.01477, 0.03919, 0.03963, 0.03575, 0.03271, 0.0419, 0.01102, 0.04996, 0.02097, 0.04318]","[1.506, 0.645, 0.495, 0.693, 1.222, 1.277, 1.436, 0.831, 0.736, 1.221, 1.21, 1.296, 0.82, 1.672, 1.209]","['A_2501', 'A_6801', 'B_1402', 'B_1501', 'B_4402', 'C_0501', 'DPB1_1101', 'DQA1_0102', 'DQA1_0103', 'DQA1_0201', 'DQB1_0201', 'DQB1_0202', 'DQB1_0602', 'DRB1_0407', 'DRB1_0701']",1
Cancer of nasopharynx,10,4,"[0.004077, 9.26e-05, 0.002444, 0.0458, 0.005285, 0.01783, 0.03036]","[3.863, 4.163, 2.348, 0.483, 3.096, 0.384, 0.325]","['A_3001', 'B_1302', 'C_0602', 'C_0702', 'DPB1_0601', 'DQA1_0101', 'DRB1_0101']",1
Cancer of oropharynx,12,3,"[0.02203, 0.03261, 0.003943, 0.04626, 0.01208, 0.04825, 0.003893, 0.03253, 0.005605, 0.0014, 0.001278, 0.01223, 0.001739, 0.002331, 0.005656]","[1.325, 0.668, 0.519, 1.741, 1.534, 0.568, 1.891, 0.76, 0.516, 1.496, 1.553, 0.558, 2.333, 1.47, 0.489]","['A_0101', 'A_2402', 'B_1501', 'B_3701', 'B_4403', 'C_1203', 'DPB1_1101', 'DQA1_0102', 'DQA1_0103', 'DQA1_0201', 'DQB1_0202', 'DQB1_0603', 'DRB1_0407', 'DRB1_0701', 'DRB1_1301']",1
Cancer of tongue,12,3,"[0.01584, 0.04367, 0.04957, 0.0339, 0.01705, 0.007036, 0.004365, 0.02917, 0.02499, 0.03997, 0.009974, 0.004204, 0.02609, 0.03989]","[1.741, 0.521, 0.47, 1.312, 1.382, 1.834, 0.686, 0.615, 1.339, 1.342, 0.677, 2.221, 1.336, 0.742]","['A_2501', 'A_6801', 'B_1402', 'DPA1_0201', 'DPB1_0301', 'DPB1_1101', 'DQA1_0102', 'DQA1_0103', 'DQA1_0201', 'DQB1_0202', 'DQB1_0602', 'DRB1_0407', 'DRB1_0701', 'DRB1_1501']",1
Cardiac pacemaker/device in situ,11,1,"[0.006282, 0.04955, 0.006952, 0.04901, 0.04877]","[1.349, 0.818, 1.552, 1.139, 1.139]","['A_3201', 'B_4403', 'DPB1_1701', 'DQA1_0201', 'DRB1_0701']",1
Carditis,6,4,"[0.01139, 0.0413, 0.01519, 0.004083, 0.04194, 0.03379, 0.04954, 5.82e-05]","[1.314, 1.458, 0.627, 1.518, 1.584, 1.223, 0.73, 1.664]","['A_2402', 'B_5501', 'C_0202', 'DQB1_0604', 'DRB1_0103', 'DRB1_0301', 'DRB1_1101', 'DRB1_1302']",1
Cataract,7,4,"[0.03869, 0.03505]","[0.856, 0.854]","['B_4403', 'DRB1_1101']",1
Celiac disease,8,0,"[0.001747, 1.146e-05, 0.0003166, 0.0006451, 0.03031, 0.03191, 2.164e-07, 2.934e-11, 0.04138, 0.03116, 2.333e-11, 0.009082]","[2.049, 2.74, 2.281, 2.479, 0.557, 0.566, 3.784, 4.811, 1.689, 0.545, 4.85, 0.355]","['A_0101', 'B_0801', 'C_0701', 'DPB1_0101', 'DQA1_0102', 'DQA1_0301', 'DQA1_0501', 'DQB1_0201', 'DQB1_0202', 'DQB1_0301', 'DRB1_0301', 'DRB1_0401']",1
Cellulitis and abscess of trunk,8,5,"[0.03964, 0.04546, 0.01052, 0.01918]","[1.802, 1.235, 0.679, 1.319]","['B_1401', 'DQA1_0301', 'DRB1_0101', 'DRB1_0401']",1
"Cerebral artery occlusion, with cerebral infarction",7,5,"[0.02325, 0.01231, 0.02916, 0.03434, 0.02113]","[1.216, 1.577, 1.195, 0.806, 0.775]","['C_0702', 'DPB1_1001', 'DQA1_0102', 'DQB1_0501', 'DRB1_0101']",1
Cerebral atherosclerosis,11,3,"[0.0469, 0.004934, 0.01518, 0.02711, 0.001788, 0.03279, 0.03328, 0.03453]","[2.005, 2.08, 0.414, 0.539, 1.661, 1.384, 1.425, 1.38]","['A_3001', 'B_1302', 'B_5101', 'C_0303', 'C_0602', 'DQA1_0201', 'DQB1_0202', 'DRB1_0701']",1
Cerebral ischemia,8,4,"[0.002579, 0.04568, 0.01487]","[1.712, 1.352, 1.421]","['B_4002', 'C_0704', 'DPB1_1001']",1
Chondrocalcinosis,8,6,"[0.009886, 0.002167, 0.04439]","[2.895, 4.333, 2.604]","['DQA1_0401', 'DRB1_0103', 'DRB1_0801']",1
"Chronic Kidney Disease, Stage III",7,1,"[0.02046, 0.04012, 0.04772, 0.02256, 0.04212, 0.02456, 0.0125, 0.001834, 0.001817, 0.00437, 0.03027, 0.001821, 0.004547]","[0.84, 1.163, 0.62, 1.235, 1.181, 0.848, 1.369, 1.22, 1.248, 0.804, 0.831, 1.249, 0.807]","['B_0702', 'B_0801', 'B_3801', 'B_4001', 'C_0304', 'C_0702', 'DQA1_0401', 'DQA1_0501', 'DQB1_0201', 'DQB1_0602', 'DRB1_0101', 'DRB1_0301', 'DRB1_1501']",1
"Chronic kidney disease, Stage I or II",7,5,"[0.04683, 0.02539]","[1.291, 1.224]","['C_0303', 'DQA1_0501']",1
Chronic laryngitis,6,4,"[0.02596, 0.03849, 0.03044, 0.0431, 0.01381, 0.0412, 0.0172, 0.02314]","[1.61, 0.298, 2.499, 0.396, 2.365, 0.303, 2.56, 0.533]","['A_2402', 'A_2902', 'B_1401', 'B_4403', 'C_0704', 'C_1601', 'DQB1_0502', 'DRB1_0401']",1
Chronic liver disease and cirrhosis,9,2,"[0.0341, 0.02101, 0.0336, 0.001084, 0.01071, 0.006722, 0.03195, 0.04638, 0.004774, 0.02424, 0.01294, 0.01277, 0.002929, 0.03424, 0.001313, 0.0005515, 0.0001018, 0.005914, 0.001518, 0.03016, 0.002248, 0.001043, 0.00594]","[1.145, 0.849, 1.199, 1.248, 1.558, 1.273, 0.778, 0.774, 1.197, 1.16, 1.247, 1.192, 0.826, 1.154, 1.239, 1.285, 0.772, 0.819, 1.236, 1.157, 0.704, 0.503, 0.821]","['A_0101', 'A_0301', 'A_1101', 'B_0801', 'B_1401', 'B_3501', 'B_5101', 'B_5701', 'C_0701', 'DPA1_0201', 'DPB1_0101', 'DPB1_0301', 'DQA1_0102', 'DQA1_0201', 'DQB1_0201', 'DQB1_0202', 'DQB1_0301', 'DQB1_0602', 'DRB1_0301', 'DRB1_0701', 'DRB1_1101', 'DRB1_1104', 'DRB1_1501']",1
Chronic osteomyelitis,7,5,"[0.04007, 0.03509, 0.04888, 0.04785, 0.0298, 0.01132]","[0.611, 0.121, 1.514, 0.701, 1.379, 2.136]","['A_1101', 'C_0704', 'C_1203', 'DPB1_0301', 'DQB1_0302', 'DRB1_0103']",1
Chronic pain syndrome,6,6,"[0.02594, 0.02138, 0.04525, 0.03901, 0.0264, 0.0488]","[0.445, 1.518, 0.605, 1.477, 1.91, 0.368]","['B_3501', 'B_4402', 'C_0401', 'C_0602', 'DPB1_1101', 'DQB1_0604']",1
Chronic pericarditis,6,4,"[0.03102, 0.003726, 0.01343, 0.04129, 0.007441]","[0.549, 2.039, 3.149, 2.06, 2.195]","['A_0101', 'A_2402', 'B_1401', 'DQA1_0401', 'DRB1_1302']",1
Chronic renal failure [CKD],7,1,"[0.006444, 0.002419, 0.01902, 0.02346, 0.01529, 0.000567, 0.0428, 0.02051, 0.0005444, 0.02476, 0.03659]","[0.647, 0.683, 1.138, 1.22, 1.109, 1.179, 1.205, 0.892, 1.18, 0.74, 0.903]","['B_3801', 'B_5501', 'C_0304', 'DQA1_0401', 'DQA1_0501', 'DQB1_0201', 'DQB1_0402', 'DQB1_0602', 'DRB1_0301', 'DRB1_1401', 'DRB1_1501']",1
Chronic thyroiditis,10,5,"[0.01006, 0.03775, 0.0432]","[1.657, 0.227, 0.357]","['B_0801', 'DQB1_0604', 'DRB1_1302']",1
Chronic venous insufficiency [CVI],8,6,"[0.008353, 0.04963, 0.02252, 0.0255, 0.01834, 0.009819]","[2.045, 0.581, 1.591, 1.659, 1.727, 1.871]","['B_3701', 'B_5101', 'C_0802', 'DQA1_0401', 'DQB1_0402', 'DRB1_0801']",1
Circulatory disease NEC,8,5,"[0.02908, 8.718e-06, 0.03298, 0.01516, 0.01785, 0.0255, 0.04088, 0.0448]","[0.279, 2.864, 1.323, 1.433, 1.286, 1.309, 1.515, 1.275]","['B_3801', 'B_4002', 'C_0304', 'DPB1_0101', 'DQA1_0301', 'DQB1_0302', 'DQB1_0402', 'DRB1_0401']",1
Cirrhosis of liver without mention of alcohol,9,2,"[0.01488, 0.02092, 0.004741, 0.03552, 0.04034, 0.03166, 0.008261, 0.02067, 0.01029, 0.02169, 0.003909, 0.008681, 5.019e-05, 0.000297, 0.03507, 0.02497, 0.01007, 0.004062, 0.003377, 0.04204]","[1.215, 0.811, 1.274, 1.58, 0.731, 0.693, 1.236, 1.228, 1.493, 0.829, 1.273, 1.248, 1.436, 0.733, 0.637, 0.814, 1.243, 1.272, 0.639, 0.832]","['A_0101', 'A_0301', 'B_0801', 'B_1401', 'B_5101', 'B_5701', 'C_0701', 'DPB1_0301', 'DPB1_1101', 'DQA1_0102', 'DQA1_0201', 'DQB1_0201', 'DQB1_0202', 'DQB1_0301', 'DQB1_0503', 'DQB1_0602', 'DRB1_0301', 'DRB1_0701', 'DRB1_1101', 'DRB1_1501']",1
Complex regional/central pain syndrome,11,2,"[0.02381, 0.00541, 0.04614, 0.009797, 0.009704, 0.003799, 0.005129]","[0.355, 1.994, 2.189, 2.016, 1.675, 1.838, 1.742]","['B_4001', 'B_4403', 'B_4901', 'C_1601', 'DQA1_0201', 'DQB1_0202', 'DRB1_0701']",1
Congenital anomalies of peripheral vascular system,8,1,"[0.045, 0.002088, 0.005613, 0.04716, 0.04072, 0.02888, 0.02737]","[1.602, 2.082, 1.904, 1.805, 1.608, 0.394, 0.437]","['A_0101', 'B_0801', 'C_0701', 'DPB1_0101', 'DQA1_0501', 'DQB1_0202', 'DRB1_0401']",1
Congenital anomalies of skin,8,6,"[0.03814, 0.003211, 0.01054, 0.01329, 0.03767, 0.02605, 0.002712]","[2.607, 0.474, 2.283, 2.3, 2.619, 0.489, 2.744]","['C_1402', 'DQA1_0301', 'DQA1_0401', 'DQB1_0402', 'DQB1_0502', 'DRB1_0401', 'DRB1_0801']",1
Congenital anomalies of urinary system,6,2,"[0.01191, 0.00553, 0.004638, 0.0181, 0.02382, 0.004137, 0.01817, 0.02855, 0.01289, 0.0372]","[0.406, 1.444, 1.399, 0.713, 1.652, 1.369, 0.75, 0.737, 0.737, 1.527]","['B_1302', 'B_4001', 'C_0304', 'C_0602', 'C_0704', 'DPB1_0402', 'DQA1_0201', 'DQB1_0202', 'DRB1_0701', 'DRB1_1104']",1
"Conjunctivitis, infectious",7,4,[0.02444],[1.389],['DQA1_0101'],1
"Conjunctivitis, noninfectious",7,4,"[0.04483, 0.02515]","[0.54, 1.357]","['A_2501', 'DRB1_1301']",1
Corneal degenerations,8,4,"[0.03798, 0.04267]","[3.472, 2.903]","['B_4002', 'C_0704']",1
Corneal dystrophy,7,4,[0.01131],[1.828],['DQB1_0202'],1
Corneal opacity and other disorders of cornea,10,2,"[0.003299, 0.01582, 0.04637, 0.0004575, 0.01584]","[0.648, 1.459, 0.735, 1.771, 1.459]","['DPB1_0401', 'DQA1_0201', 'DQA1_0501', 'DQB1_0202', 'DRB1_0701']",1
Coronary atherosclerosis,7,2,"[0.03997, 0.008993, 0.03145, 0.009667, 0.01661, 0.04426, 0.02682, 0.03116, 0.004668, 0.004183]","[0.834, 0.798, 0.778, 0.728, 1.332, 0.863, 0.92, 1.082, 0.888, 0.888]","['A_2601', 'B_1402', 'B_3503', 'B_3801', 'B_3901', 'C_0802', 'DQA1_0102', 'DQA1_0501', 'DQB1_0602', 'DRB1_1501']",1
"Cyst of kidney, acquired",8,4,"[0.002126, 0.0165]","[2.443, 1.497]","['B_4002', 'DPB1_0101']",1
Cystic kidney disease,6,2,"[0.04365, 0.0159, 0.002479, 0.02605, 0.01091, 0.004784, 0.01621, 0.04648, 0.04465]","[1.543, 1.474, 1.534, 0.671, 1.903, 1.452, 0.337, 1.81, 0.311]","['A_3101', 'B_4001', 'C_0304', 'C_0602', 'C_0704', 'DPB1_0402', 'DQB1_0503', 'DRB1_0103', 'DRB1_1401']",1
Cystitis,7,5,"[0.04475, 0.04846, 0.01802, 0.01805]","[0.134, 0.441, 1.863, 1.989]","['A_3001', 'B_1302', 'B_3503', 'DQB1_0502']",1
